Abbreviation	Title	Full Title	Contains	HTML
PME	Poetic and Mythologic Words of Eldarissa	" The “Poetic and Mythologic Words of Eldarissa”, in Parma Eldalamberon 12."		"<a href=""http://www.eldalamberon.com/parma12.html"">PME</a>"
Lex.	The Lexicon			"<a href=""http://www.amazon.com/gp/product/0395409276?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0395409276"">Lex.</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0395409276"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
Etym.	The Etymologies			"<a href=""http://www.amazon.com/gp/product/0261102257?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0261102257"">Etym.</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0261102257"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
A&C	Addenda and Corrigenda to the Etymologies	" The “Addenda and Corrigenda to the Etymologies”, in Vinyar Tengwar 45 and 46."		"<a href=""http://www.elvish.org/VT/index.html"">VT45,56/A&amp;C</a>"
OED	 Oxford English Dictionary	 Oxford English Dictionary		"<a href=""http://www.amazon.com/gp/product/0199548412?ie=UTF8&tag=middlearthm0f-20&linkCode=as2&camp=1789&creative=390957&creativeASIN=0199548412"">OED</a><img src=""http://www.assoc-amazon.com/e/ir?t=middlearthm0f-20&l=as2&o=1&a=0199548412"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />"
Hde1	"Hobbit - German, Carroux"	Der kleine Hobbit - Margaret Carroux translation		"<a href=""http://www.amazon.de/kleine-Hobbit-J-R-R-Tolkien/dp/3423085592/ref=sr_1_4?s=books&ie=UTF8&qid=1291679841&sr=1-4"">Hde1</a>"
Hde2	"Hobbit - German, Scherf"	Der kleine Hobbit - Walter Scherf translation		"<a href=""http://www.amazon.de/kleine-Hobbit-J-R-R-Tolkien/dp/3423085592/ref=sr_1_4?s=books&ie=UTF8&qid=1291679841&sr=1-4"">Hde2</a>"
LRde	The Lord of the Rings - German	Der Herr der Ringe - Margaret Carroux translation		"<a href=""http://www.amazon.de/Herr-Ringe-J-R-Tolkien/dp/360895855X/ref=sr_1_138?s=books&ie=UTF8&qid=1291680983&sr=1-138"">LRde</a>"
Rde	The Road Goes Ever On	The Road Goes Ever On. Der Tolkien Liederzyklus		"<a href=""http://www.amazon.de/Road-Goes-Ever-Tolkien-Liederzyklus/dp/3929174936/ref=sr_1_243?s=books&ie=UTF8&qid=1291682158&sr=1-243"">Rde</a>"
Sde	The Silmarillion - German	Das Silmarillion (Not the Walfgang Krege Translation)		"<a href=""http://www.amazon.de/Silmarillion-John-Ronald-Reuel-Tolkien/dp/3608875204/ref=sr_1_179?s=books&ie=UTF8&qid=1291681893&sr=1-179"">Sde</a>"
UTde	Unfinished Tales - German	Nachrichten aus Mittelerde - Hans J. Schütz transation		"<a href=""http://www.amazon.de/Nachrichten-aus-Mittelerde-John-Tolkien/dp/3608932461/ref=sr_1_3?s=books&ie=UTF8&qid=1291679841&sr=1-3"">UTde</a>"
Lde	The Letters of J.R.R. Tolkien - German	Briefe - Wolfgang Krege translation		"<a href=""http://www.amazon.de/Briefe-John-R-Tolkien/dp/3608936505/ref=sr_1_49?s=books&ie=UTF8&qid=1291680763&sr=1-49"">Lde</a>"
Ide	"The Book of Lost Tales, Part One - German"	Das Buch der Verschollenen Geschichten: Teil 1 - Hans J. Schütz transation		"<a href=""http://www.amazon.de/Das-Buch-Verschollenen-Geschichten-Hobbit/dp/3608930612/ref=sr_1_40?s=books&ie=UTF8&qid=1291680338&sr=1-40"">Ide</a>"
IIde	"The Book of Lost Tales, Part Two - German"	Das Buch der Verschollenen Geschichten: Teil 2 - Hans J. Schütz transation		"<a href=""http://www.amazon.de/Buch-Verschollenen-Geschichten-Hobbit-Presse/dp/3608930620/ref=sr_1_48?s=books&ie=UTF8&qid=1291680338&sr=1-48"">Ide</a>"
